,name,url,rating,coordinates.latitude,coordinates.longitude,location.city
0,Auberge Saint-Pierre,https://www.yelp.com/biz/auberge-saint-pierre-le-mont-saint-michel?adjust_creative=GXwWFx9ItkABO5LjjHHpQg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=GXwWFx9ItkABO5LjjHHpQg,3.0,48.636199,-1.510107,Le Mont-Saint-Michel
1,La Vieille Auberge,https://www.yelp.com/biz/la-vieille-auberge-mont-saint-michel?adjust_creative=GXwWFx9ItkABO5LjjHHpQg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=GXwWFx9ItkABO5LjjHHpQg,4.0,48.6374866464272,-1.51200185046206,Mont Saint-Michel
2,Hôtel du Guesclin,https://www.yelp.com/biz/h%C3%B4tel-du-guesclin-le-mont-saint-michel-2?adjust_creative=GXwWFx9ItkABO5LjjHHpQg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=GXwWFx9ItkABO5LjjHHpQg,3.5,48.635616,-1.50986,Le Mont Saint-Michel
3,Hôtel du Mouton Blanc,https://www.yelp.com/biz/h%C3%B4tel-du-mouton-blanc-le-mont-st-michel-2?adjust_creative=GXwWFx9ItkABO5LjjHHpQg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=GXwWFx9ItkABO5LjjHHpQg,2.5,48.6355694,-1.5099386,Le Mont St Michel
4,Hotel Mercure,https://www.yelp.com/biz/hotel-mercure-le-mont-saint-michel?adjust_creative=GXwWFx9ItkABO5LjjHHpQg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=GXwWFx9ItkABO5LjjHHpQg,5.0,48.614325,-1.510715,Le Mont Saint Michel
5,Hôtel Gabriel,https://www.yelp.com/biz/h%C3%B4tel-gabriel-mont-saint-michel-11?adjust_creative=GXwWFx9ItkABO5LjjHHpQg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=GXwWFx9ItkABO5LjjHHpQg,4.0,48.6156371945626,-1.51092271894843,Mont Saint Michel
6,Auberge de la Baie,https://www.yelp.com/biz/auberge-de-la-baie-ardevon-2?adjust_creative=GXwWFx9ItkABO5LjjHHpQg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=GXwWFx9ItkABO5LjjHHpQg,4.5,48.6157410287328,-1.48776515402289,Ardevon
7,Hôtel de la Digue,https://www.yelp.com/biz/h%C3%B4tel-de-la-digue-le-mont-saint-michel?adjust_creative=GXwWFx9ItkABO5LjjHHpQg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=GXwWFx9ItkABO5LjjHHpQg,3.5,48.61203,-1.514053,Le Mont-Saint-Michel
8,Hôtel de La Digue,https://www.yelp.com/biz/h%C3%B4tel-de-la-digue-mont-saint-michel-le-3?adjust_creative=GXwWFx9ItkABO5LjjHHpQg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=GXwWFx9ItkABO5LjjHHpQg,1.0,48.6256,-1.50965,Mont Saint Michel Le
9,Hôtel Vert,https://www.yelp.com/biz/h%C3%B4tel-vert-le-mont-saint-michel?adjust_creative=GXwWFx9ItkABO5LjjHHpQg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=GXwWFx9ItkABO5LjjHHpQg,4.0,48.607327,-1.51054,Le Mont-Saint-Michel
